Lipid	Class	Coefficient
8147447	0	-0.0128199357567
8147756	0	-0.0103933604479
8148304	1	0.0113838789562
8149104	0	-0.0419602903547
8149438	1	0.0152207695483
8150157	1	0.0104051476987
8150974	1	0.0128794606094
8151583	0	-0.0113295956403
8151587	1	0.012229597683
8151935	1	0.0172902832568
8152512	1	0.0114837480448
8153201	1	0.0108190465041
8154229	1	0.0270028727312
8154233	1	0.017169587676
8154531	1	0.0102953814033
8154563	1	0.019301632413
8154666	0	-0.00998727494467
8156024	1	0.0143630602609
8156577	1	0.0122217618888
8158028	1	0.01441345039
8160321	1	0.0124036267541
8160531	1	0.0216455618226
8161476	1	0.0122944510705
8162996	1	0.0104508216697
8163437	1	0.0123766867223
8163825	1	0.0104172761199
